UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
3001,Bengaluru_City_PS_01,1,,1,29,1001,1
3002,Bengaluru_City_PS_02,1,,1,29,1001,1
3003,Bengaluru_City_PS_03,1,,1,29,1001,1
3004,Bengaluru_City_PS_04,1,,1,29,1001,1
3005,Bengaluru_City_PS_05,1,,1,29,1001,1
3006,Bengaluru_City_PS_06,1,,1,29,1001,1
3007,Bengaluru_City_PS_07,1,,1,29,1001,1
3008,Bengaluru_City_PS_08,1,,1,29,1001,1
3009,Mysuru_City_PS_01,1,,1,29,1002,1
3010,Mysuru_City_PS_02,1,,1,29,1002,1
3011,Mysuru_City_PS_03,1,,1,29,1002,1
3012,Mysuru_City_PS_04,1,,1,29,1002,1
3013,Mysuru_City_PS_05,1,,1,29,1002,1
3014,Mysuru_City_PS_06,1,,1,29,1002,1
3015,Mysuru_City_PS_07,1,,1,29,1002,1
3016,Mysuru_City_PS_08,1,,1,29,1002,1
3017,Hubballi-Dharwad_PS_01,1,,1,29,1003,1
3018,Hubballi-Dharwad_PS_02,1,,1,29,1003,1
3019,Hubballi-Dharwad_PS_03,1,,1,29,1003,1
3020,Hubballi-Dharwad_PS_04,1,,1,29,1003,1
3021,Hubballi-Dharwad_PS_05,1,,1,29,1003,1
3022,Hubballi-Dharwad_PS_06,1,,1,29,1003,1
3023,Hubballi-Dharwad_PS_07,1,,1,29,1003,1
3024,Hubballi-Dharwad_PS_08,1,,1,29,1003,1
3025,Mangaluru_City_PS_01,1,,1,29,1004,1
3026,Mangaluru_City_PS_02,1,,1,29,1004,1
3027,Mangaluru_City_PS_03,1,,1,29,1004,1
3028,Mangaluru_City_PS_04,1,,1,29,1004,1
3029,Mangaluru_City_PS_05,1,,1,29,1004,1
3030,Mangaluru_City_PS_06,1,,1,29,1004,1
3031,Mangaluru_City_PS_07,1,,1,29,1004,1
3032,Mangaluru_City_PS_08,1,,1,29,1004,1
3033,Belagavi_PS_01,1,,1,29,1005,1
3034,Belagavi_PS_02,1,,1,29,1005,1
3035,Belagavi_PS_03,1,,1,29,1005,1
3036,Belagavi_PS_04,1,,1,29,1005,1
3037,Belagavi_PS_05,1,,1,29,1005,1
3038,Belagavi_PS_06,1,,1,29,1005,1
3039,Belagavi_PS_07,1,,1,29,1005,1
3040,Belagavi_PS_08,1,,1,29,1005,1
