CourtID,CourtName,DistrictID,StateID,Active
4001,Bengaluru City 1nd Addl. Judicial Magistrate First Class (JMFC),1001,29,1
4002,Bengaluru City 2nd Addl. Judicial Magistrate First Class (JMFC),1001,29,1
4003,Bengaluru City 3nd Addl. Judicial Magistrate First Class (JMFC),1001,29,1
4004,Mysuru City 1nd Addl. Judicial Magistrate First Class (JMFC),1002,29,1
4005,Mysuru City 2nd Addl. Judicial Magistrate First Class (JMFC),1002,29,1
4006,Mysuru City 3nd Addl. Judicial Magistrate First Class (JMFC),1002,29,1
4007,Hubballi-Dharwad 1nd Addl. Judicial Magistrate First Class (JMFC),1003,29,1
4008,Hubballi-Dharwad 2nd Addl. Judicial Magistrate First Class (JMFC),1003,29,1
4009,Hubballi-Dharwad 3nd Addl. Judicial Magistrate First Class (JMFC),1003,29,1
4010,Mangaluru City 1nd Addl. Judicial Magistrate First Class (JMFC),1004,29,1
4011,Mangaluru City 2nd Addl. Judicial Magistrate First Class (JMFC),1004,29,1
4012,Mangaluru City 3nd Addl. Judicial Magistrate First Class (JMFC),1004,29,1
4013,Belagavi 1nd Addl. Judicial Magistrate First Class (JMFC),1005,29,1
4014,Belagavi 2nd Addl. Judicial Magistrate First Class (JMFC),1005,29,1
4015,Belagavi 3nd Addl. Judicial Magistrate First Class (JMFC),1005,29,1
